ECR,Player,Tipoff (ET),Opponent,Today,Yesterday,Difference,Name,Team,Pos,Key,Price,run_ts
-,Ryan Rollins (GSW - SG),8:00PM,@OKC,"$3,500",-,-,Ryan Rollins,GSW,SG,Ryan Rollins-GSW,3500,2023-01-30 15:57:09.660005
-,Patrick Baldwin Jr. (GSW - SF),8:00PM,@OKC,"$3,500",-,-,Patrick Baldwin,GSW,SF,Patrick Baldwin-GSW,3500,2023-01-30 15:57:09.660005
-,Christian Koloko (TOR - C),9:00PM,@PHO,"$3,800",-,-,Christian Koloko,TOR,C,Christian Koloko-TOR,3800,2023-01-30 15:57:09.660005
-,Josh Minott (MIN - SF),8:00PM,SAC,"$3,500",-,-,Josh Minott,MIN,SF,Josh Minott-MIN,3500,2023-01-30 15:57:09.660005
-,Wendell Moore Jr. (MIN - SG),8:00PM,SAC,"$3,500",-,-,Wendell Moore,MIN,SG,Wendell Moore-MIN,3500,2023-01-30 15:57:09.660005
154,Jalen Duren (DET - C),8:30PM,@DAL,"$6,500",-,-,Jalen Duren,DET,C,Jalen Duren-DET,6500,2023-01-30 15:57:09.660005
141,Jaden Ivey (DET - SG),8:30PM,@DAL,"$6,400",-,-,Jaden Ivey,DET,SG,Jaden Ivey-DET,6400,2023-01-30 15:57:09.660005
103,Keegan Murray (SAC - SF/PF),8:00PM,@MIN,"$5,600",-,-,Keegan Murray,SAC,SF/PF,Keegan Murray-SAC,5600,2023-01-30 15:57:09.660005
-,Jaden Hardy (DAL - SG),8:30PM,DET,"$3,900",-,-,Jaden Hardy,DAL,SG,Jaden Hardy-DAL,3900,2023-01-30 15:57:09.660005
-,Ousmane Dieng (OKC - SF),8:00PM,GSW,"$3,800",-,-,Ousmane Dieng,OKC,SF,Ousmane Dieng-OKC,3800,2023-01-30 15:57:09.660005
315,Shaedon Sharpe (POR - SG),10:00PM,ATL,"$3,900",-,-,Shaedon Sharpe,POR,SG,Shaedon Sharpe-POR,3900,2023-01-30 15:57:09.660005
-,Dominick Barlow (SAS - SF),8:00PM,WAS,"$3,500",-,-,Dominick Barlow,SAS,SF,Dominick Barlow-SAS,3500,2023-01-30 15:57:09.660005
-,Buddy Boeheim (DET - SG),8:30PM,@DAL,"$3,500",-,-,Buddy Boeheim,DET,SG,Buddy Boeheim-DET,3500,2023-01-30 15:57:09.660005
-,Julian Champagnie (PHI - SF),7:00PM,ORL,"$3,500",-,-,Julian Champagnie,PHI,SF,Julian Champagnie-PHI,3500,2023-01-30 15:57:09.660005
201,Will Barton (WAS - SG/SF),8:00PM,@SAS,"$3,800",-,-,Will Barton,WAS,SG/SF,Will Barton-WAS,3800,2023-01-30 15:57:09.660005
-,Jared Rhoden (DET - SG),8:30PM,@DAL,"$3,500",-,-,Jared Rhoden,DET,SG,Jared Rhoden-DET,3500,2023-01-30 15:57:09.660005
